對應場景專案,人機協作角色設計 (HITL),單月 API 財務告警閾值,持續維運分工 (LLMOps),技能升級與培訓,財務熔斷保護
自建地端 RAG,三層協作：Notion 清洗掛載 ➔ AI 推薦排障 ➔ 茂雄師課長現場調機確認,"單月 Notion 數據流量與 API 超標 NT$ 3,000 自動報警",每季匯出 Notion Master DB，重新清洗 CAD 與化驗規格 PDF 掛載，IT 技術課主導,茂雄師及徒弟「Notion 知識檢索與現場排障對照」3小時操作工作坊，孟顧問主持,RAG 檢索信心度低於 90% 輸出黃燈預警，擋板強制鎖定，禁止調機推薦轉人工
大師傅台語語音轉譯,有人在環：茂雄師台語口語報工 ➔ Whisper 自動轉譯草稿 ➔ 茂雄師口頭確認「對」完成,單月算力/API Token 累計超標 $150 USD 自動觸發財務警報,每半年優化 Whisper 模型台語岡山詞彙庫，更換車間指向麥克風防油污网罩，IT負責,換模班組「台國語音免打字報工與排帳異常確認」現場 5 分鐘極簡產線實操點檢受訓,語音識別信心度低於 85%，系統亮黃燈，出箱閘物理斷電，強制人手核實
地端伺服器輕量化,財務對帳：Notion 數據傳輸 ➔ API 限流器限制 ➔ 財務長劉總監月度審查核實,單月 API Token 累計超標 $150 USD 自動觸發財務警報,每月導出 Notion API 連接日誌，優化 SaaS 數據庫讀寫參數，防範惡意刷爆計費,財務團隊「SaaS API 算力成本日誌導出與 Notion 帳單對位核銷」半日工作坊培訓,單月 Token 超額 $150 USD 或 Loop Guard 攔截遞迴 3 次，系統物理切斷 API 呼叫
DLP 去敏感過濾,安全監控：DLP 自動遮罩 ➔ API 限流監控 ➔ 安全課主管每晚稽核出站日誌,"單月數據傳輸與安全網閘監護超額 NT$ 2,000 自動報警",每半年進行 DLP Pattern 敏感詞規則庫（料號與商標規格）升級維護，IT 安全課負責,安全團隊「DLP 過濾規則庫配置與 NotebookLM 地端隔離安全審計」2 日高級資安內訓,檢測到 CAD 專利規格或敏感利潤公式外洩，系統安全同步管線自動關閉熔斷
模具壽命聲學預警,三層協作：AI 自動預警 ➔ 阿茂師現場確認調機 ➔ 品管雙簽出站合格,"單月地端伺服器維護與 Token 超標 NT$ 5,000 自動報警",每半年進行 CNN-XGBoost 聲學模型重新訓練，維持良率預測精準度，由 IT 負責,阿茂師及徒弟「聲學特徵預警與調鍛微調」3小時實操研討會，由孟顧問主持,聲學與電能異常偏離安全係數 10% 以上，系統黃燈，強制擋板鎖定轉人工
現場語音免打字報工,有人在環：阿茂師空氣大喊 ➔ AI 轉譯草稿 ➔ 阿茂師語音確認「對，出站」,單月算力/API Token 累計超標 $150 USD 自動觸發財務警報,每季清掃車間麥克風防塵罩，優化 Whisper 模型台語詞彙集，維持轉譯精準度,換模班組「工業語音報工與異常排除」現場 5 分鐘極簡產線實操點檢受訓,語音指令信心度低於 85%，系統亮黃燈，出箱閘物理斷電，強制人手核實
ERP 唯讀中介緩衝,資訊簽核：Buffer 中介寫入 ➔ 每晚單向同步 ➔ 資訊長廖經理一鍵簽章,"單月緩衝區數據傳輸超標 NT$ 2,000 自動報警",每半年進行 Dingxin ERP API 接口防護升級，維持系統高可用度，由 IT 負責,資訊部團隊「唯讀中介緩衝庫架構與異常數據審查」2 日高級資安培訓,數據超標 10% 或出現未對位科目，系統單向定時同步管線自動關閉熔斷
API 算力計費監控,計費監控：Rate Limiter 自動限制 ➔ 單月 Token 超額熔斷 ➔ 劉總監核實,單月 API Token 累計超標 $150 USD 自動觸發財務警報,每月彙整 API 算力日誌，進行 Rate Limiter 參數優化，防範惡意刷爆,財務團隊「Token 算力費用帳單核實與 LLMOps 財務路由」半日工作坊培訓,單月算力超標 $150 USD 或 Loop Guard 觸發死循環 3 次，系統物理切斷 API
出口螺絲熱處理爐溫優化,樹莓派自動推論建議;輝哥手動執行或覆核; veto 按鈕實體斷電,"地端推論無 API 月費,僅雲端模型每月更新下載流量 NT$ 2,000,超過告警","顧問端遠端維運 Month 1-6,之後移交宏達 IT 廖經理,每季回訪對賬",輝哥「AI 學徒教練」帶教培訓(3 天)、機電工 PLC 對接培訓(2 天),"模型預測偏差連續 2 日 > 5% 自動斷電轉人工,通知總經理"
熱處理碳勢濃度預估,與爐溫共用 HITL 流程,"同主管線,無額外 API 費用","模型每兩週在本地伺服器自動再訓練一次,同步吸收輝哥隱形標記數據",輝哥參與月度模型校準會、品保部碳勢分析工具培訓(1 天),"碳勢探針損壞或 API 斷訊時直接切斷 AI,強制人工看火色閥門"
本地離線熔斷安全盒,"一旦觸發熔斷,系統強制回到手動;輝哥為唯一放行簽名者",無 API 月費,"本地繼電器硬體物理巡檢,IT 課每日巡檢 PLC 通訊健康",輝哥與機電工「繼電器熔斷盒手動復歸與排障」實操培訓(1 天),"繼電器故障或反應時間 > 20ms 自動亮紅燈警告,全手動模式"
輝哥專家大腦調度庫,輝哥為專家教師、AI 為學徒學生;輝哥享有一票否決權,無 API 月費,"本地網頁主頁由 IT 課廖經理運維,數據每週自動備份地端硬碟","輝哥「技術傳承與專家標記系統操作」培訓(2 天),孟顧問主持","輝哥帳號遭非法登入或多次試錯,系統自動鎖定並退回手動模式"
爐溫燃氣優化配比,財務部月度查賬;製造部每日能耗統計與產量匹配,"地端無外部 API 費用,無算力爆炸風險","能源儀表板數據由製造部廖經理運維,數據每週同步財務系統",製造部「綠色能耗精算與優化操作」培訓(2 天),"月度電費若不降反升超過 5%,自動切換為常規調度,重新檢討模型"
外銷車廠安全審計對位,業務窗口 + 品保課長雙簽確認外銷文件合規性,"外部審計與認證機構流量上限 NT$ 5,000/月","安全審計日誌由品保部課長運維,日誌每日自動備份地端硬碟",品保部「ISO 42001 與歐盟 AI Act 條款研習」培訓(5 天),"審計日誌遭刪除或非授權存取時自動報警,鎖定外銷數據庫"
CBAM RAG 申報,三層協作：AI 自動打草稿 ➔ 製程工程師技術審查簽名 ➔ Candy商務簽審出站,單月算力/API Token 累計超標 $150 USD 自動觸發財務警報,每季更新歐盟 CBAM RAG 向量庫最新稅則法規，由廠內 IT 與顧問共同維護,業務團隊「綠色貿易與 RAG 提示詞」2 小時實戰演練，由孟顧問主持,凡申報信心指數低於 92%，系統物理斷路，強制退回人工審查流程，防範天價處罰
委外熱處理能耗盤查,閉環控制：AI 智慧微調 ➔ 機電熔斷器監控 ➔ 班長享有一鍵否決權,"單月本地伺服器維護費用超標 NT$ 5,000 自動警報",每半年進行 Modbus 感測器精度校對與模型漂移（Drift）修正，由 IT 負責,現場機電班長「樹莓派一鍵否決與實體繼電器維護」現場 1 對 1 實操受訓,爐溫偏離安全係數 5% 以上，實體硬繼電器 10ms 物理彈開斷電，徹底熔斷保護設備
電鍍排污能耗分析,雙向覆核：AI 推薦配方 ➔ 化學工程師手動微調並確認 (100% HITL 覆核),"單月模型算力託管費用超標 NT$ 8,000 自動警報",每半年利用新批次化驗數據進行 LightGBM 模型重新訓練，維持良率預測精準度,化學工程師「專利專家庫管理與 AI 配方微調優化」2 日高級研修班培訓,若廢水排污指標連續兩次偏離安全線 8%，系統自動鎖定配方推薦，強制人工接管
