對應場景專案,業務痛點,主責部門,核心 AI 任務,商業價值評估 (V),數據就緒度評估 (D),一線使用阻力評估 (R),ROI 綜合評估指數,導入優先級決策
自建地端 RAG,自建地端 RAG 資料雜亂致 AI 給出嚴重幻覺,資訊部 / 製造課,Notion 結構化清洗與 NotebookLM 輕量檢索,極高 (規避排障誤導危機，保障 35 條線排障效率),中等 (有大量 CAD 與化驗日誌，但格式混亂不堪),中等 (IT 經理對放棄地端實體伺服器重資產抱有防備),9.4,🌟 P0 優先級 (首期試點)
大師傅台語語音轉譯,茂雄師習慣台語交班排斥打字與平板提示詞,運維部 / 調鍛車間,Whisper ASR 國台語口譯轉譯與 VAD 降噪,極高 (消除一線師傅平板打字物理障礙，收集真實排障數據),中等 (有口語交代習慣，但現場敲擊高頻噪音極大),極高 (茂雄師強烈排斥，擔心技術被 AI 掏空而失業),9.2,🌟 P0 優先級 (首期試點)
地端伺服器輕量化,地端實體伺服器硬體維護成本 TCO 每年50萬,財務部 / 總務課,Notion 結構唯讀匯出與 NotebookLM 隔離沙盒,高 (規避高昂硬體維護折舊開銷，釋放財務預算空間),高 (有現成 Notion SaaS 帳戶與 Google API 監控),低 (財務部積極推動降本增效，無一線工人使用阻力),8.8,🌟 P1 優先級 (第二階段)
DLP 去敏感過濾,大模型呼叫 API 敏感個資與專利進價洩密,資訊部 / 技術課,DLP 資料去敏感屏蔽與 Rate Limiter 算力控制,高 (保護 CAD 專利尺寸與振豐商標機密，防範內控漏洞),高 (有 Clear API 接口且敏感詞清單已就緒),低 (資訊長對高資安合規表示支持，無一線阻力),8.5,🌟 P1 優先級 (第二階段)
模具壽命聲學預警,冷鍛模具磨損崩刀致不良品流出BMW客訴,品管部 / 冷鍛線,聲學與電能異常特徵模具壽命預警,極高 (保障合格供應商資格，規避百萬級退貨索賠),中等 (有歷史報廢日誌，但缺乏實時高頻壓力數據),極高 (阿茂師強烈抗拒，擔心技術被AI掏空而失業),9.6,🌟 P0 優先級 (首期試點)
現場語音免打字報工,現場滿手油污無法在 iPad 上打字報工,製造部 / 換模車間,ASR 國台語語音報工與邊緣 VAD 降噪,高 (消除一線人員平板輸入障礙，提高工時效率),中等 (有標準工單格式，但車間噪聲極大),極高 (阿茂師拒絕配合平板，認為是高管考核監視),9.0,🌟 P0 優先級 (首期試點)
ERP 唯讀中介緩衝,CIO 廖經理防範 AI 寫入核心 ERP 污染數據,資訊部 / 技術課,非侵入式唯讀副本緩衝資料庫單向同步,高 (防範帳務系統污染，化解廖經理技術阻力),高 (有現成鼎新 ERP API 接口，但安全要求高),中等 (資訊部對 AI Agent 抱持極強防備與杯葛),8.8,🌟 P1 優先級 (第二階段)
API 算力計費監控,CFO 劉總監防範算力 Token 帳單失控,財務部 / 總務課,API 算力路由與 Loop Guard 死循環防禦,中等 (鎖死 Token 成本，防範帳單爆表),高 (有 OpenAI 帳單管理後台),低 (財務部積極推動成本控管，無一線阻力),8.0,🌟 P1 優先級 (第二階段)
出口螺絲熱處理爐溫優化,出口螺絲熱處理製程爐溫失衡,製造部 / 熱處理課,"爐溫微調 LightGBM 預測模型,本地樹莓派地端運行",9(直接影響螺絲脆斷良率與外銷大單),7(歷史溫控與碳勢日誌完整但有殘缺),8(輝哥為首的現場技術工強烈排斥),7.9,🌟 P0 優先級 (首期試點)
熱處理碳勢濃度預估,熱處理碳勢濃度失控引發氫脆,品保部 / 熱處理課,"爐內碳勢預估與平衡推薦模型,Modbus 唯讀拉取",8(氫脆斷裂為外銷索賠首要死穴),6(歷史碳勢探針數據需清洗與特徵降噪),8(輝哥堅信手動調閥經驗),6.0,🌟 P0 優先級 (首期試點)
