對應場景專案,試點部門與範圍,試點週期,Quick-Win 量化 KPI,一線員工主要阻力,變革管理化解方案
自建地端 RAG,製造部 A車間 (5條精密扣件線),30 天,NotebookLM 知識庫檢索精準度達 99%；調機幻覺率降至 1% 以下；工時效率提升 300%,IT 經理林經理對放棄地端實體伺服器重資產抱持懷疑與防備心態,策略長親自介入規避首期 NT$ 50 萬折舊，以 Notion + NotebookLM 低成本說服
大師傅台語語音轉譯,製造部 A車間調鍛車間,14 天,台國雙語語音報工結構化成功率 98% 以上；師傅平板手動打字次數降為 0,茂雄師擔心大腦經驗被 AI 學會後被公司裁員失業，故意隱匿真實參數,總經理與茂雄師簽署「不裁員安心承諾書」，系統冠名並享有 0.5% 季度分紅
地端伺服器輕量化,財務部 / 總務課,14 天,實體硬體採購及維護預算省下 100%；年維護折舊費用省下 NT$ 50 萬,財務部劉總監因前期 POC 失敗且預算超支，對 AI 專案抱持強烈反彈,陳策略長展示「Notion 結構化+NotebookLM」輕量方案，零硬體開銷，劉總監簽字
DLP 去敏感過濾,資訊部 / 安全課,30 天,機密數據外流次數為 0；DLP 安全過濾遮罩率 100%；合規審計 100% 綠燈,資訊團隊對 AI 模型上雲資安合規抱持極強防備心，拒絕開放外部 RAG 連線,部署本地去敏感 DLP 網閘與 Loop Guard 財務熔斷，完全合規個資法與保密 NDA
模具壽命聲學預警,製造部 A車間冷鍛線 (5台冷鍛機),30 天,沖頭微裂提前 2 小時預警；模具停機率降低 75%；廢料損失年省 NT$ 140 萬,阿茂師強烈抗拒登錄扭力，擔心經驗被 AI 學會後被資遣裁員,吳總與阿茂師正式簽署「技術入股與良率分紅合約」（0.5% 營運紅利）
現場語音免打字報工,製造部 A車間換模車間,14 天,語音報工結構化成功率 98% 以上；師傅平板手動點選操作次數降為 0,阿茂師滿手是油不便平板操作，認為平板登錄是高管監視的累贅,指向性麥克風 + 台國雙語 ASR 語音報工，阿茂師雙手不觸碰螢幕
ERP 唯讀中介緩衝,資訊部 / ERP 緩衝區,30 天,ERP 數據污染率為 0；廖資訊長簽章核准率 100%；廖經理抗拒完全消除,廖經理對 AI Agent 直連 ERP 抱持極強防備與懷疑，拒絕放行權限,陳策略長設計「非侵入式唯讀中介緩衝資料庫」，數據二次簽核同步
API 算力計費監控,財務部 / API 閘道,14 天,單月 Token 帳單超標率為 0；Loop Guard 攔截死循環成功率 100%,劉財務長擔心師傅們過度呼叫頂級 Reasoning 模型導致 API 費用爆炸,後台部署 API 算力路由與 Loop Guard 死循環防禦，單月超 $150 報警並熔斷
出口螺絲熱處理爐溫優化,熱處理課 A連續式網帶爐(主力外銷爐),12 週(Month 1-3),熱處理滲碳不良率降至 0%、爐溫波動控制在 ±2℃ 內,"輝哥擔心起火與爆炸責任,拒絕執行 AI 自動參數",紅色物理一鍵否決按鈕 + 10ms 繼電器物理熔斷安全防線
熱處理碳勢濃度預估,熱處理課 A連續式網帶爐同步試點,與爐溫優化共週期,碳勢控制良率 ≥ 99.2%、表面脫碳不良客訴降至 0,"輝哥堅信手摸溫感與火色經驗,排斥軟體推薦","正名為「輝哥專家調度庫」,AI 定位為「數位學徒」而非取代者"
