對應場景專案,技術路徑選擇,核心模型配置,敏感資料防線,主動安全防禦,合規審計稽核
自建地端 RAG,Notion Master DB 結構化資料清洗 + NotebookLM 隔離沙盒,Notion DB 關聯表格 + NotebookLM (唯讀 PDF 唯讀掛載),內部數據隔離 (化驗表與 CAD 設計圖僅透過 Notion 地端隔離處理，拒絕直連外網),AI 幻覺信心熔斷 (信心度低於 90% 自動黃燈預警，禁止輸出推薦調機指令),IT 主管林經理簽審 (每週數據清洗匯出由林經理安全簽章審計，完全綠燈)
大師傅台語語音轉譯,指向性高增益麥克風 + Whisper ASR 台國雙語語音轉譯,Whisper-Large-v3 (地端微調台國對照版) + VAD 降噪,地端語音物理沙盒 (語音報工日誌僅在內網隔離轉譯，100% 物理隔離公有雲),Loop Guard死循環防禦 (語音接收超時 15 秒自動物理中斷，防止算力爆表),茂雄師語音備忘日誌 (語音錄音與文字對照存檔 30 天，備查智慧製造補助)
地端伺服器輕量化,雲端輕量化混合 SaaS + Notion 導出備份,Notion Serverless + Notion API,API特許金鑰物理隔離 (Notion 數據傳輸僅透過本地金鑰加密，外部不可竊聽),CFO 財務安全閥 (單月 API 總額上限 $150 USD 自動 physical 切斷 API 呼叫),劉財務長月度對帳 (自動 Notion 導出 API 日報與財務帳單核實，供劉財務長審查)
DLP 去敏感過濾,DLP 遮敏感過濾網閘 + 本地端 API 閘道限流器,DLP Pattern Matching Engine,DLP去敏感過濾 (自動遮罩特製防鬆扣件 CAD 尺寸與 [振豐精密] 商標),算力財務熔斷 (Token 累計超標 $150 USD 自動 physical 切斷 API 呼叫),合規官安全月報 (Notion 自動導出安全日誌，供合規官與律師進行內控審計)
模具壽命聲學預警,本地地端 CNN-XGBoost 模型 + 指向性麥克風,聲學異常檢測網路 + XGBoost 磨損模型,DLP去識別化網閘 (自動遮罩 BMW 客戶抬頭與特製發動機螺栓 Part Number),黃金眼信心熔斷 (信心值偏離安全係數 10% 以上，封箱機實體電源自動切斷),雙簽出站門閘 (大師傅調機簽 ➔ 品管主管出貨簽始得出廠)
現場語音免打字報工,指向性防磁麥克風 + 邊緣 ASR 台國雙語語音轉譯,Whisper-Large-v3 (地端微調台國對照版) + VAD 降噪,地端語音隔離 (所有語音日誌僅在內網轉譯，100% 物理隔離公有雲),Loop Guard死循環防禦 (語音超時 15 秒自動物理中斷，防止算力無效重試),語音報工日誌稽核 (保留原始匿名音檔 30 天，供會計師簽證核銷補助)
ERP 唯讀中介緩衝,副本資料庫單向同步管線 (Replica Buffer Tube),單向定時數據核實同步腳本 (Cron Sync),唯讀 API 網閘 (AI Agent 僅有 Buffer Database 寫入權限，無 Core ERP 連接字串),帳務數據安全閥 (金額超標 10% 或邏輯異常自動熔斷同步，退回人工核實),資訊部廖經理安全簽章 (每晚同步前廖經理一鍵簽核，完全符合審計合規)
API 算力計費監控,本地端 API 閘道器 + 智慧 Token 路由器,算力計費監控系統 (Rate Limiter),API 特許金鑰隔離 (Token 呼叫僅透過本地專屬 Gateway 進行限制，金鑰不暴露),單月算力財務熔斷 (API Token 累計超標 $150 USD 自動熔斷轉輕量模型),財務月報 Token 帳單對位 (Notion 系統自動日誌導出，供劉總監核實)
出口螺絲熱處理爐溫優化,"本地地端(Edge GPU 樹莓派),Modbus RTU 唯讀",LightGBM 迴歸預測 + TimeGPT 零樣本冷啟動微調,"地端數據庫 AES-256 加密,歷史製程參數不外傳","PLC 唯讀緩衝區隔離,寫回參數強制雙簽",網帶爐操作記錄日誌自動保存 3 年、每季進行製程審查
熱處理碳勢濃度預估,"本地地端,共用樹莓派微伺服器",XGBoost 迴歸 + 傅立葉變換頻域特徵工程,"探針數據代碼化去敏感,不關聯具體客戶規格","模型再訓練 MLflow 控制,版本定期備份",製程良率偏差日誌記錄、與品保系統對賬對位
本地離線熔斷安全盒,地端微控制(Raspberry Pi + 實體繼電器硬線連接),信心度計算規則引擎 + 10ms 硬體線圈斷電,"操作記錄僅保存在地端硬碟,不設外網連線",物理繼電器線圈失電彈開、爐旁 10cm 實體紅色 Veto 按鈕,每次物理熔斷觸發自動記錄時間與原因、經廠長雙簽
輝哥專家大腦調度庫,本地地端 Web 介面(樹莓派主頁),規則匹配 + 專家心法權重推薦模型,"專家調機日誌去姓名化,僅與「班組」強綁定",輝哥操作帳戶二階段驗證、防竄改唯讀日誌,輝哥糾錯日誌作為季度分紅與技術股權申報憑證
爐溫燃氣優化配比,"本地地端,共用樹莓派微伺服器",強化學習 Q-Learning + TCO 精算公式,"財務成本基數地端代號化,不外流外部大模型",單月財務 Token 限額與 API Gateway 物理熔斷,月度節電能耗帳單審計、會計師進場核對
外銷車廠安全審計對位,"本地地端,隔離沙盒防線",符合 ISO 42001 標準之治理日誌系統,DLP 遮罩網閘:採購單號與目的地車廠自動屏蔽,防外洩限制:地端限制 USB 與外網直接連線,歐盟 AI Act 規格有限風險告知浮水印、ISO 42001 自評報告
CBAM RAG 申報,本地地端 RAG + 向量資料庫檢索,Llama-3-8B-Instruct (地端私有部署) + BGE-M3 向量模型,DLP去識別化網閘 (自動遮罩 Airbus 品牌名稱、吉翔航太名稱及機密價格),API 財務熔斷器 (單月 Token 算力超標 150 美元自動中斷警報),雙簽核准門閘 (製程工程師技術簽 + 業務主管 Candy 商務簽始得出站)
委外熱處理能耗盤查,本地樹莓派離線分析 API + 工業 Modbus 協議對接,XGBoost 爐溫能耗預測模型 (邊緣端部署),機電硬熔斷防護 (10ms 實體繼電器硬熔斷，溫度信心值偏離 5% 即斷電轉人工),一鍵否決按鈕 (機電班長享有一鍵暫停 AI 控制之絕對實體權利),離線日誌緩衝區 (數據唯讀寫入本地，完全物理隔離核心 ERP/CRM 系統)
電鍍排污能耗分析,中介試算表低 TCO 架構 + 數據清洗對照層,LightGBM 良率與排污預測模型,配方 IP 特許加密 (配方核心化學式在本地數據庫加密，AI僅讀取能耗參數),良率安全閥 (排污指標偏離環保警戒線 10% 自動鎖定並推送警報),Notion 專家配方庫 (100% 填滿屬性，變更日誌不可篡改，供環保局隨時稽核)
木箱體積視覺檢測,包裝凹槽自動相機 + AI 視覺目標檢測 (Object Detection),YOLOv8 視覺尺寸檢測模型 + OCR 煙燻印章識別,照片本地存儲 (出貨照片僅存於廠區地端，100% 屏蔽個資與客戶地址標籤),紅綠燈實體防呆 (綠燈自動放行並傳輸數據，紅燈物理鎖定封箱機電源),出貨影像稽核包 (每批出貨自動生成一對一 XML-影像壓縮包，供歐洲海關抽查)
缺陷誤報雙向校準,本地地端 CNN 偏見校準網路 + 物理偏振濾鏡,卷積神經網路 (CNN) 瑕疵特徵提取模型,DLP去識別化網閘 (自動遮罩螺絲出貨標籤中之客戶Part Number與車廠名稱),"API 算力財務熔斷 (地端伺服器算力能耗單月超標 NT$ 6,000 自動報警)",雙簽驗收 SOP (一線品管確認簽 ➔ 班長桂姐標記簽始得出廠)
有人在環瑕疵分流,有人在環 (HITL) 三色閘分流推薦,YOLOv8 缺陷目標檢測模型,地端影像加密 (所有出貨螺絲瑕疵影像在本地數據庫加密，絕不上傳公有雲),黃金眼信心熔斷 (信心值低於 70% 自動亮黃燈並鎖定擋板，強制人工複檢),RACI 品管權責表 (明確 AI 僅為初審助理，免除一線人員簽審出錯之個人法律責任)
標記教練津貼機制,本地一鍵標記回傳與微調管線 (Fine-tuning Pipeline),ResNet-50 影像分類模型,Prompt 冠名防護 (系統命名為「桂姐黃金眼模型」，模型特徵僅供吉翔內網使用),標記質量安全閥 (每週標記一致性低於 90% 自動亮黃燈，桂姐 1 對 1 帶教),Notion 標記資料庫 (100% 填寫屬性，變更日誌記錄每次微調日期，供特斯拉外部稽核)
物理偏振曝光濾光,主動偏振光源防磁濾鏡 + 多頻曝光 (HDR),OpenCV 影像對比度自適應濾鏡,本地物理隔離 (物理濾鏡與鏡頭改裝，數據不外洩，符合 IATF 16949 規範),物理限位熔斷 (相機解析度若低於 70% 自動報警並切斷出箱閘電源),物理檢修日誌 (每季清掃鏡頭防粉塵，由 IT 與運維共同簽署維護日誌)
廢水排污多變量預測,地端私有 LightGBM 模型 + 廢水感測器 Modbus 協議,LightGBM 廢水重金屬濃度預測模型,DLP去識別化網閘 (自動遮罩出貨標籤與委外客戶名稱，藥水化學式在本地屏蔽),排污安全閥 (排污指標偏離安全線 8% 以上，系統自動鎖定閥門，強制人工接管),RACI 雙簽流程 (化學師配方簽 ➔ 環保主管出站簽始得開機生產)
專家配方冠名收斂,特許授權與中介數據清洗對照層,決策樹影像分類模型 (輔助標記),配方 IP 特許加密 (配方核心化學式在本地數據庫加密，AI僅讀取能耗參數),標記質量安全閥 (每週數據一致性低於 90% 自動亮黃燈，明哥 1 對 1 帶教),Notion 專家配方庫 (100% 填滿屬性，變更日誌不可篡改，供環保局隨時稽核)
電鍍良率尋優推薦,地端 LightGBM 多變量尋優 + 樹莓派邊緣部署,LightGBM 良率預測模型,地端物理隔離 (配方模型在本地伺服器運算，網絡物理隔離外網，防範競爭對手竊密),爐溫與濃度信心熔斷 (信心值偏離安全係數 10% 以上，封箱機實體電源自動切斷),車規 IATF 16949 審計 (每批出貨自動生成一對一 XML-良率影像壓縮包，供國際車廠抽查)
